"","x"
"1",2.57691472072854
"2",2.57691472072854
"3",2.54329810992956
"4",2.50851199384414
"5",2.47247205736094
"6",2.43508452528932
"7",2.43508452528932
"8",2.47247205736094
"9",2.43508452528932
"10",2.43508452528932
"11",2.39624469197306
"12",2.39624469197306
"13",2.43508452528932
"14",2.31372366828506
"15",2.26976054486394
"16",2.26976054486394
"17",2.12492959698548
"18",2.17557332980424
"19",2.07158361628019
"20",2.01523067972906
"21",1.89199803930511
"22",1.82417544296635
"23",1.58778666490212
"24",1.75141608868392
"25",1.67294447324243
"26",1.49469624183611
"27",1.49469624183611
"28",1.49469624183611
"29",1.39204208777602
"30",1.14842000511827
"31",0.614337519188015
"32",0
"33",0
"34",0.346073532593335
"35",0.614337519188015
"36",1
"37",1.14842000511827
"38",0.614337519188015
"39",1
"40",1
"41",0
"42",1
"43",1.14842000511827
"44",1.14842000511827
"45",0.825646612855222
"46",1
"47",1.14842000511827
"48",1.14842000511827
"49",0.614337519188015
"50",1.14842000511827
"51",1.27763173659828
"52",0.825646612855222
"53",1.39204208777602
"54",1.58778666490212
