"","ancestral","birth","death","duration","nfinds","fa","la"
"1",0,0,1.69532411741796,1.69532411741796,2,0.798464253303128,1.23808687931179
"2",1,0.148030932247639,1.02898672012487,0.880955787877228,1,0.183815261883415,0.183815261883415
"3",2,0.293579800403677,1.19523585910305,0.901656058699371,0,0,0
"4",3,0.333685123291798,0.658981893623855,0.325296770332057,0,0,0
"5",3,0.42653882955201,4.23842747612808,3.81188864657607,14,0.440877101825089,3.91227154168127
"6",2,0.722701888810843,1.38827662139691,0.665574732586067,0,0,0
"7",1,0.98415846072603,1.02853140886964,0.0443729481436126,0,0,0
"8",5,1.06948451013304,1.34017244381575,0.270687933682711,0,0,0
"9",7,1.02459197589196,1.77257149995172,0.747979524059757,0,0,0
"10",8,1.24935472852085,2.27762647621803,1.02827174769718,0,0,0
"11",9,1.20835873531178,2.56292794813715,1.35456921282537,1,1.35614771467434,1.35614771467434
"12",9,1.23208777625114,2.65297462046366,1.42088684421252,2,1.391951500201,1.96655197489186
"13",1,1.35342668085359,4.93763975695288,3.58421307609929,7,1.37696719966501,4.85310170173584
"14",1,1.39359577181749,2.61588604215636,1.22229027033886,2,1.78470178802056,1.9378711977024
"15",6,1.32413160703145,4.10378331884097,2.77965171180953,3,1.50345127689062,2.93129737221145
"16",1,1.51410631365143,2.27667591046945,0.76256959681802,1,2.062958305184,2.062958305184
"17",9,1.56524364077486,1.8812016395308,0.315957998755938,0,0,0
"18",13,1.59662023084238,3.41716884508853,1.82054861424614,2,2.33861329841301,3.32731512604562
"19",5,1.71354189894628,1.72915537922651,0.0156134802802292,0,0,0
"20",10,1.71876634685323,3.57234163531845,1.85357528846522,1,1.75859123779619,1.75859123779619
"21",14,1.71346886625979,3.39102222244568,1.67755335618589,6,1.73018439843301,3.31946727729155
"22",18,1.71241730598267,2.2526576610584,0.540240355075726,0,0,0
"23",14,1.8594330095686,3.67583735272181,1.81640434315321,1,2.10689081864613,2.10689081864613
"24",15,1.89427996329032,2.50076819069858,0.606488227408261,0,0,0
"25",11,1.95543346547056,2.99525619143366,1.0398227259631,0,0,0
"26",14,1.93020688570105,1.96780823918101,0.0376013534799677,0,0,0
"27",20,1.98149415927474,3.54421371728617,1.56271955801143,2,2.52500386401275,3.23526470010253
"28",12,2.02961877034977,2.57704146566861,0.547422695318834,1,2.28677449461608,2.28677449461608
"29",12,2.12093441206962,3.18830512178664,1.06737070971703,1,3.0182637083112,3.0182637083112
"30",14,2.17147663000505,2.80826884964597,0.636792219640911,0,0,0
"31",25,2.17162179849111,2.8848635865869,0.713241788095792,0,0,0
"32",25,2.21695436080918,2.75569217971179,0.538737818902609,1,2.53725974858553,2.53725974858553
"33",14,2.36916977982037,2.47146019296783,0.102290413147458,0,0,0
"34",20,2.46305424035527,3.83679491552517,1.3737406751699,2,3.57361423337498,3.83260492690438
"35",23,2.47243747133762,4.88851077780307,2.41607330646545,3,3.23359301945265,4.87979357012711
"36",32,2.4736234582495,3.27741152966297,0.803788071413471,1,2.66824113282958,2.66824113282958
"37",12,2.51821442455985,5.220564719211,2.70235029465115,6,3.01563118646906,5.14843308435175
"38",13,2.50270912358537,3.40175216458512,0.89904304099975,1,2.58694537749162,2.58694537749162
"39",14,2.51449074624106,2.76748819169636,0.252997445455291,0,0,0
"40",27,2.62872356965672,4.31190592819809,1.68318235854136,0,0,0
"41",32,2.64483367297799,4.67337451738161,2.02854084440362,0,0,0
"42",15,2.75726266044658,4.00586505230342,1.24860239185685,0,0,0
"43",21,2.72378137419,3.69877225887214,0.974990884682136,0,0,0
"44",40,2.76348491704557,2.7806457876566,0.0171608706110296,0,0,0
"45",41,2.72118558913935,2.97482825959634,0.253642670456986,0,0,0
"46",25,2.82002909944859,4.0364162864334,1.21638718698481,0,0,0
"47",25,2.83727031650487,3.79306960877996,0.95579929227509,0,0,0
"48",41,2.8377591800876,3.14745918304253,0.309700002954935,0,0,0
"49",43,2.89505355944857,4.51147012432322,1.61641656487465,4,3.48427667058602,4.45375772440941
"50",27,2.93960933480412,3.69782174745671,0.758212412652596,0,0,0
"51",42,2.98874235141557,5.57655610108643,2.58781374967086,1,4.59348105140596,4.59348105140596
"52",42,2.99478696002625,3.50130791957964,0.506520959553391,0,0,0
"53",47,2.94422496405896,5.43594725098608,2.49172228692712,0,0,0
